Price,Close,High,Low,Open,Volume
Ticker,^MXX,^MXX,^MXX,^MXX,^MXX
Date,,,,,
2025-12-18,63807.3203125,63913.55859375,62541.76953125,62692.4609375,140430600
2025-12-19,63966.98046875,64408.25,63560.9296875,63776.921875,639370000
2025-12-22,64778.1796875,64880.76953125,63720.48828125,64102.0,145622100
2025-12-23,65595.40625,65683.078125,64661.3203125,64780.98828125,132166700
2025-12-24,65616.4296875,65722.9609375,65225.5,65667.578125,16353800
2025-12-26,65636.359375,65882.59375,65507.76953125,65719.671875,23142800
2025-12-29,65347.078125,65608.5390625,65213.1484375,65608.5390625,84397100
2025-12-30,64366.69921875,65697.6328125,64329.73828125,65468.671875,70494300
2025-12-31,64308.2890625,64457.69140625,63936.1484375,64450.05859375,60516200
2026-01-02,64141.359375,65090.03125,63802.140625,64366.62109375,44991600
2026-01-05,65014.37109375,65425.9609375,64306.171875,64306.171875,89779700
2026-01-06,65022.23828125,65630.53125,64871.62890625,65137.390625,190182900
2026-01-07,64871.69921875,65156.62890625,64043.1484375,64942.30078125,126392600
2026-01-08,65521.01171875,65617.3984375,64477.62890625,64874.109375,147361800
2026-01-09,66062.6171875,66152.7265625,65384.5703125,65542.0703125,178314200
2026-01-12,66745.609375,66942.8671875,66038.6015625,66113.53125,148969200
2026-01-13,66337.421875,66913.6796875,66214.1171875,66839.7265625,212215200
2026-01-14,67403.078125,67561.890625,66228.171875,66485.828125,169954200
2026-01-15,66649.28125,67656.96875,66456.3671875,67464.6796875,223545400
2026-01-16,67141.109375,67229.1875,66511.2734375,66632.71875,192264800
2026-01-19,67467.8203125,67553.1015625,66762.2890625,67254.28125,31597200
2026-01-20,67683.3828125,67945.2578125,66851.34375,67462.8828125,173477100
2026-01-21,68036.1328125,68761.3671875,67735.2734375,67735.2734375,189830800
2026-01-22,68347.9765625,68799.703125,67964.96875,67989.828125,181540000
2026-01-23,68195.1484375,68533.3828125,67493.5625,68438.859375,154468400
2026-01-26,68706.03125,69366.7109375,68420.1015625,68420.1015625,143994100
2026-01-27,68877.640625,69255.140625,68336.046875,68612.71875,203537500
2026-01-28,69959.7265625,70037.7890625,69038.6171875,69073.5625,196931000
2026-01-29,69492.4296875,70483.15625,69033.5234375,70297.8515625,202993900
2026-01-30,67598.953125,69190.03125,67468.0390625,69190.03125,221149100
2026-02-03,69735.0625,70111.7421875,67979.9765625,68001.1171875,221519800
2026-02-04,68730.6875,69888.5625,68186.9609375,69888.5625,218824500
2026-02-05,68858.28125,69181.1171875,67721.96875,68335.703125,166832400
2026-02-06,70809.5703125,70870.5703125,68725.65625,68798.3125,211525500
2026-02-09,71509.453125,71551.2890625,70651.28125,70806.1796875,143433600
2026-02-10,71271.5625,71715.3203125,71072.4609375,71535.9609375,164634400
2026-02-11,71601.3515625,71675.640625,70594.140625,71461.0,189694400
2026-02-12,70888.0390625,72111.40625,70465.71875,71581.15625,263858900
2026-02-13,71478.8125,71558.7265625,70329.2890625,70973.1875,159292900
2026-02-16,71353.2890625,71535.0234375,71180.078125,71468.9921875,17352800
2026-02-17,71155.6875,71288.078125,70691.03125,71288.078125,142942700
2026-02-18,70885.21875,71694.8828125,70771.9609375,71156.9296875,181882700
2026-02-19,70845.65625,71284.5078125,70691.078125,70771.21875,145226200
2026-02-20,71436.546875,71478.09375,70715.5234375,70715.5234375,133829700
2026-02-23,70633.7734375,71713.4765625,70141.84375,71171.6796875,145171300
2026-02-24,70934.8203125,71114.3671875,69853.6015625,70656.4609375,234152000
2026-02-25,71144.3515625,71358.671875,70626.6015625,71230.7421875,207550900
2026-02-26,71390.1015625,71440.2734375,70795.171875,71026.28125,216100000
2026-02-27,71405.7734375,71890.34375,70925.1796875,71325.96875,359876400
2026-03-02,70584.75,71487.8203125,70092.859375,71487.8203125,177778500
2026-03-03,68436.2578125,70241.890625,66938.453125,70241.890625,233775400
2026-03-04,70428.03125,70513.203125,68394.6875,68447.859375,185020800
2026-03-05,68379.421875,70456.1796875,68306.1484375,70362.09375,179296700
2026-03-06,67313.5,68366.8671875,67270.40625,68167.8671875,159702900
2026-03-09,66890.2734375,67180.140625,65426.98046875,67180.140625,208956900
2026-03-10,67397.9375,67866.6484375,67023.9375,67111.640625,222439000
2026-03-11,67559.78125,67644.640625,67014.65625,67363.21875,217513200
2026-03-12,66085.8125,67480.640625,65923.0390625,67448.5703125,174883400
2026-03-13,65648.90625,66515.640625,65575.921875,66106.96875,104652900
2026-03-17,66196.921875,66691.96875,65820.3125,65829.46875,184778200
2026-03-18,65779.2265625,66163.7890625,65679.359375,66108.1015625,229922300
2026-03-19,65199.3984375,65336.62890625,64444.46875,65259.76953125,152993900
2026-03-20,64134.8984375,65291.26171875,63781.25,65210.53125,514282400
2026-03-23,64370.94921875,64815.87109375,64099.55078125,64290.5390625,144444200
